Category: All categories,,,,,,,,,,,,,
,,,,,,,,,,,,,
Time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),,Time,northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),,Time,swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-05-01T16:20:00-07:00,8,3,16,,2018-05-01T16:28:00-07:00,16,16,8,,2018-05-01T16:28:00-07:00,23,15,8
2018-05-01T16:28:00-07:00,3,1,8,,2018-05-01T16:36:00-07:00,0,49,0,,2018-05-01T16:36:00-07:00,16,8,0
2018-05-01T16:36:00-07:00,4,0,27,,2018-05-01T16:44:00-07:00,0,16,0,,2018-05-01T16:44:00-07:00,31,0,0
2018-05-01T16:44:00-07:00,1,6,25,,2018-05-01T16:52:00-07:00,0,24,0,,2018-05-01T16:52:00-07:00,16,8,8
2018-05-01T16:52:00-07:00,4,1,17,,2018-05-01T17:00:00-07:00,0,25,8,,2018-05-01T17:00:00-07:00,8,32,0
2018-05-01T17:00:00-07:00,1,4,27,,2018-05-01T17:08:00-07:00,0,34,0,,2018-05-01T17:08:00-07:00,16,0,8
2018-05-01T17:08:00-07:00,1,1,22,,2018-05-01T17:16:00-07:00,0,0,9,,2018-05-01T17:16:00-07:00,42,16,17
2018-05-01T17:16:00-07:00,0,1,18,,2018-05-01T17:24:00-07:00,0,0,0,,2018-05-01T17:24:00-07:00,34,8,0
2018-05-01T17:24:00-07:00,1,0,13,,2018-05-01T17:32:00-07:00,0,9,0,,2018-05-01T17:32:00-07:00,34,8,8
2018-05-01T17:32:00-07:00,0,3,15,,2018-05-01T17:40:00-07:00,0,18,9,,2018-05-01T17:40:00-07:00,9,17,0
2018-05-01T17:40:00-07:00,2,3,21,,2018-05-01T17:48:00-07:00,0,9,0,,2018-05-01T17:48:00-07:00,8,8,0
2018-05-01T17:48:00-07:00,1,0,21,,2018-05-01T17:56:00-07:00,0,0,9,,2018-05-01T17:56:00-07:00,26,8,17
2018-05-01T17:56:00-07:00,3,2,14,,2018-05-01T18:04:00-07:00,0,0,0,,2018-05-01T18:04:00-07:00,17,26,9
2018-05-01T18:04:00-07:00,0,5,15,,2018-05-01T18:12:00-07:00,9,0,18,,2018-05-01T18:12:00-07:00,0,25,0
2018-05-01T18:12:00-07:00,0,0,14,,2018-05-01T18:20:00-07:00,0,18,18,,2018-05-01T18:20:00-07:00,26,0,0
2018-05-01T18:20:00-07:00,0,2,14,,2018-05-01T18:28:00-07:00,0,18,0,,2018-05-01T18:28:00-07:00,17,25,17
2018-05-01T18:28:00-07:00,0,0,12,,2018-05-01T18:36:00-07:00,9,27,9,,2018-05-01T18:36:00-07:00,26,26,0
2018-05-01T18:36:00-07:00,2,0,11,,2018-05-01T18:44:00-07:00,0,9,18,,2018-05-01T18:44:00-07:00,26,25,0
2018-05-01T18:44:00-07:00,3,0,18,,2018-05-01T18:52:00-07:00,0,9,35,,2018-05-01T18:52:00-07:00,17,8,8
2018-05-01T18:52:00-07:00,5,0,21,,2018-05-01T19:00:00-07:00,0,9,0,,2018-05-01T19:00:00-07:00,0,17,0
2018-05-01T19:00:00-07:00,0,2,21,,2018-05-01T19:08:00-07:00,9,0,18,,2018-05-01T19:08:00-07:00,26,17,0
2018-05-01T19:08:00-07:00,2,3,12,,2018-05-01T19:16:00-07:00,9,9,9,,2018-05-01T19:16:00-07:00,17,0,0
2018-05-01T19:16:00-07:00,0,1,12,,2018-05-01T19:24:00-07:00,0,0,0,,2018-05-01T19:24:00-07:00,17,8,0
2018-05-01T19:24:00-07:00,0,0,16,,2018-05-01T19:32:00-07:00,0,0,9,,2018-05-01T19:32:00-07:00,34,8,0
2018-05-01T19:32:00-07:00,1,4,31,,2018-05-01T19:40:00-07:00,0,0,0,,2018-05-01T19:40:00-07:00,17,8,8
2018-05-01T19:40:00-07:00,3,1,16,,2018-05-01T19:48:00-07:00,0,9,0,,2018-05-01T19:48:00-07:00,25,0,0
2018-05-01T19:48:00-07:00,1,1,16,,2018-05-01T19:56:00-07:00,0,0,17,,2018-05-01T19:56:00-07:00,24,8,8
2018-05-01T19:56:00-07:00,3,0,19,,2018-05-01T20:04:00-07:00,0,9,8,,2018-05-01T20:04:00-07:00,0,0,0
2018-05-01T20:04:00-07:00,1,0,19,,2018-05-01T20:12:00-07:00,0,17,9,,2018-05-01T20:12:00-07:00,8,8,0
2018-05-01T20:12:00-07:00,3,6,23,,2018-05-01T20:20:00-07:00,0,0,17,,2018-05-01T20:20:00-07:00,8,24,8
2018-05-01T20:20:00-07:00,1,1,22,,2018-05-01T20:28:00-07:00,0,9,8,,2018-05-01T20:28:00-07:00,25,24,0
2018-05-01T20:28:00-07:00,1,6,17,,2018-05-01T20:36:00-07:00,0,0,0,,2018-05-01T20:36:00-07:00,8,0,0
2018-05-01T20:36:00-07:00,0,4,20,,2018-05-01T20:44:00-07:00,0,8,0,,2018-05-01T20:44:00-07:00,8,0,0
2018-05-01T20:44:00-07:00,1,1,23,,2018-05-01T20:52:00-07:00,0,8,17,,2018-05-01T20:52:00-07:00,16,0,0
2018-05-01T20:52:00-07:00,1,7,22,,2018-05-01T21:00:00-07:00,0,0,8,,2018-05-01T21:00:00-07:00,8,16,0
2018-05-01T21:00:00-07:00,3,0,12,,2018-05-01T21:08:00-07:00,0,9,0,,2018-05-01T21:08:00-07:00,0,8,0
2018-05-01T21:08:00-07:00,3,1,17,,2018-05-01T21:16:00-07:00,0,0,0,,2018-05-01T21:16:00-07:00,25,16,0
2018-05-01T21:16:00-07:00,0,0,18,,2018-05-01T21:24:00-07:00,0,35,0,,2018-05-01T21:24:00-07:00,8,0,0
2018-05-01T21:24:00-07:00,1,4,12,,2018-05-01T21:32:00-07:00,0,9,0,,2018-05-01T21:32:00-07:00,9,8,0
2018-05-01T21:32:00-07:00,2,2,17,,2018-05-01T21:40:00-07:00,9,9,18,,2018-05-01T21:40:00-07:00,17,0,0
2018-05-01T21:40:00-07:00,2,0,9,,2018-05-01T21:48:00-07:00,0,9,0,,2018-05-01T21:48:00-07:00,9,17,9
2018-05-01T21:48:00-07:00,3,3,22,,2018-05-01T21:56:00-07:00,0,19,10,,2018-05-01T21:56:00-07:00,19,9,0
2018-05-01T21:56:00-07:00,0,0,15,,2018-05-01T22:04:00-07:00,10,20,20,,2018-05-01T22:04:00-07:00,19,9,0
2018-05-01T22:04:00-07:00,2,3,15,,2018-05-01T22:12:00-07:00,0,10,0,,2018-05-01T22:12:00-07:00,29,0,0
2018-05-01T22:12:00-07:00,3,5,24,,2018-05-01T22:20:00-07:00,0,0,11,,2018-05-01T22:20:00-07:00,10,10,10
2018-05-01T22:20:00-07:00,0,2,18,,2018-05-01T22:28:00-07:00,0,34,23,,2018-05-01T22:28:00-07:00,44,0,0
2018-05-01T22:28:00-07:00,2,2,18,,2018-05-01T22:36:00-07:00,0,0,0,,2018-05-01T22:36:00-07:00,11,22,0
2018-05-01T22:36:00-07:00,2,0,10,,2018-05-01T22:44:00-07:00,0,13,0,,2018-05-01T22:44:00-07:00,0,24,0
2018-05-01T22:44:00-07:00,2,0,17,,2018-05-01T22:52:00-07:00,0,0,0,,2018-05-01T22:52:00-07:00,13,0,0
2018-05-01T22:52:00-07:00,5,0,16,,2018-05-01T23:00:00-07:00,0,0,0,,2018-05-01T23:00:00-07:00,0,0,0
2018-05-01T23:00:00-07:00,3,3,20,,2018-05-01T23:08:00-07:00,15,0,0,,2018-05-01T23:08:00-07:00,15,15,0
2018-05-01T23:08:00-07:00,0,5,26,,2018-05-01T23:16:00-07:00,0,16,0,,2018-05-01T23:16:00-07:00,0,31,0
2018-05-01T23:16:00-07:00,3,0,19,,2018-05-01T23:24:00-07:00,0,0,0,,2018-05-01T23:24:00-07:00,0,17,0
2018-05-01T23:24:00-07:00,3,6,27,,2018-05-01T23:32:00-07:00,0,0,0,,2018-05-01T23:32:00-07:00,18,0,0
2018-05-01T23:32:00-07:00,6,6,19,,2018-05-01T23:40:00-07:00,0,0,0,,2018-05-01T23:40:00-07:00,0,0,0
2018-05-01T23:40:00-07:00,3,0,24,,2018-05-01T23:48:00-07:00,0,0,0,,2018-05-01T23:48:00-07:00,41,0,0
2018-05-01T23:48:00-07:00,0,0,11,,2018-05-01T23:56:00-07:00,0,0,0,,2018-05-01T23:56:00-07:00,22,0,0
2018-05-01T23:56:00-07:00,0,4,16,,2018-05-02T00:04:00-07:00,0,25,0,,2018-05-02T00:04:00-07:00,0,0,0
2018-05-02T00:04:00-07:00,0,0,4,,2018-05-02T00:12:00-07:00,0,27,0,,2018-05-02T00:12:00-07:00,26,0,0
2018-05-02T00:12:00-07:00,0,5,9,,2018-05-02T00:20:00-07:00,0,0,0,,2018-05-02T00:20:00-07:00,0,0,0
2018-05-02T00:20:00-07:00,0,0,15,,2018-05-02T00:28:00-07:00,0,0,0,,2018-05-02T00:28:00-07:00,30,0,0
2018-05-02T00:28:00-07:00,0,5,16,,2018-05-02T00:36:00-07:00,0,0,0,,2018-05-02T00:36:00-07:00,32,0,0
2018-05-02T00:36:00-07:00,0,0,17,,2018-05-02T00:44:00-07:00,0,0,0,,2018-05-02T00:44:00-07:00,0,0,0
2018-05-02T00:44:00-07:00,0,0,12,,2018-05-02T00:52:00-07:00,0,39,0,,2018-05-02T00:52:00-07:00,38,0,0
2018-05-02T00:52:00-07:00,0,0,13,,2018-05-02T01:00:00-07:00,0,0,0,,2018-05-02T01:00:00-07:00,81,0,0
2018-05-02T01:00:00-07:00,0,0,0,,2018-05-02T01:08:00-07:00,0,0,0,,2018-05-02T01:08:00-07:00,45,0,0
2018-05-02T01:08:00-07:00,0,0,24,,2018-05-02T01:16:00-07:00,0,0,0,,2018-05-02T01:16:00-07:00,0,0,0
2018-05-02T01:16:00-07:00,0,8,24,,2018-05-02T01:24:00-07:00,0,0,0,,2018-05-02T01:24:00-07:00,0,0,0
2018-05-02T01:24:00-07:00,9,0,17,,2018-05-02T01:32:00-07:00,0,0,0,,2018-05-02T01:32:00-07:00,53,0,0
2018-05-02T01:32:00-07:00,0,9,28,,2018-05-02T01:40:00-07:00,0,57,0,,2018-05-02T01:40:00-07:00,0,0,0
2018-05-02T01:40:00-07:00,0,0,39,,2018-05-02T01:48:00-07:00,63,0,0,,2018-05-02T01:48:00-07:00,0,0,60
2018-05-02T01:48:00-07:00,0,0,21,,2018-05-02T01:56:00-07:00,0,65,0,,2018-05-02T01:56:00-07:00,62,0,0
2018-05-02T01:56:00-07:00,11,0,0,,2018-05-02T02:04:00-07:00,0,0,0,,2018-05-02T02:04:00-07:00,0,0,0
2018-05-02T02:04:00-07:00,12,0,12,,2018-05-02T02:12:00-07:00,0,0,0,,2018-05-02T02:12:00-07:00,0,0,0
2018-05-02T02:12:00-07:00,0,0,24,,2018-05-02T02:20:00-07:00,0,0,0,,2018-05-02T02:20:00-07:00,0,0,0
2018-05-02T02:20:00-07:00,0,0,27,,2018-05-02T02:28:00-07:00,0,0,0,,2018-05-02T02:28:00-07:00,0,0,0
