time,evergreen hospital: (Seattle-Tacoma WA),emergency room: (Seattle-Tacoma WA),emergency: (Seattle-Tacoma WA),northwest medical center: (Seattle-Tacoma WA),overlake hospital: (Seattle-Tacoma WA),UW hospital: (Seattle-Tacoma WA),swedish hospital: (Seattle-Tacoma WA),harborview medical center: (Seattle-Tacoma WA),Virginia Mason hospital: (Seattle-Tacoma WA)
2018-04-25T13,6,6,45,10,42,17,31,12,1
2018-04-25T14,8,4,46,0,52,15,41,29,3
2018-04-25T15,8,4,47,3,39,5,35,23,6
2018-04-25T16,13,3,48,13,47,11,43,19,11
2018-04-25T17,9,6,47,14,32,20,43,17,5
2018-04-25T18,4,6,50,0,27,3,35,11,4
2018-04-25T19,6,5,56,0,32,17,21,10,3
2018-04-25T20,5,4,44,3,28,11,20,10,0
2018-04-25T21,2,4,32,0,3,20,15,17,3
2018-04-25T22,6,6,48,4,11,15,29,15,2
2018-04-25T23,4,2,42,0,24,12,3,10,3
2018-04-26T00,6,6,59,0,0,10,12,0,0
2018-04-26T01,10,13,88,0,0,17,10,10,0
2018-04-26T02,5,5,57,0,51,0,45,30,0
2018-04-26T03,6,12,78,0,0,0,38,0,0
2018-04-26T04,26,0,46,0,0,0,65,49,16
2018-04-26T05,15,3,41,0,47,0,9,9,0
2018-04-26T06,1,5,50,0,22,0,17,21,0
2018-04-26T07,11,4,44,9,18,4,31,23,5
2018-04-26T08,8,5,46,0,63,13,35,20,0
2018-04-26T09,7,5,59,8,43,35,39,14,6
2018-04-26T10,8,3,42,8,18,18,39,25,4
2018-04-26T11,6,3,40,10,48,18,36,24,4
2018-04-26T12,7,5,46,0,33,23,28,21,10
2018-04-26T13,5,4,44,10,27,7,36,32,1
2018-04-26T14,7,5,41,0,41,18,30,17,0
2018-04-26T15,6,6,51,8,46,19,27,24,3
2018-04-26T16,8,3,39,8,35,13,35,14,8
2018-04-26T17,5,6,51,3,35,15,34,19,3
2018-04-26T18,8,7,47,0,30,12,35,9,5
2018-04-26T19,6,4,51,0,24,3,21,10,3
2018-04-26T20,5,7,39,0,11,11,17,13,0
2018-04-26T21,6,3,38,0,18,12,18,19,0
2018-04-26T22,6,2,35,0,34,4,20,11,0
2018-04-26T23,6,6,51,6,23,6,13,3,0
2018-04-27T00,4,11,52,0,0,0,23,6,6
2018-04-27T01,0,3,63,0,0,0,19,10,0
2018-04-27T02,9,19,87,0,0,0,29,29,14
2018-04-27T03,0,12,58,0,0,0,37,37,0
2018-04-27T04,5,5,36,0,0,0,32,32,0
2018-04-27T05,6,12,52,0,16,15,18,18,0
2018-04-27T06,1,1,35,0,29,15,17,13,0
2018-04-27T07,6,2,50,17,26,22,18,26,3
2018-04-27T08,6,5,53,6,16,9,44,15,4
